model	rmsd_full	rmsd_framework	rmsd_h1	rmsd_h2	rmsd_h3	rmsd_l1	rmsd_l2	rmsd_l3	pdb
7bbj_unrelaxed_rank_025_alphafold2_multimer_v3_model_4_seed_003	0.412	0.681	0.451	0.649	1.555	1.018	0.384	0.528	7bbj
7bbj_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_001	0.427	0.646	0.407	0.656	1.228	1.03	0.426	0.465	7bbj
7bbj_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_001	0.424	0.706	0.402	0.731	1.58	1.088	0.416	0.513	7bbj
7bbj_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_000	0.368	0.657	0.423	0.696	1.27	0.607	0.396	0.476	7bbj
7bbj_unrelaxed_rank_006_alphafold2_multimer_v3_model_5_seed_002	0.381	0.651	0.421	0.69	1.232	0.59	0.397	0.489	7bbj
7bbj_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_003	0.384	0.735	0.414	0.718	1.547	0.647	0.358	0.54	7bbj
7bbj_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_003	0.374	0.704	0.414	0.699	1.526	0.761	0.366	0.593	7bbj
7bbj_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000	0.385	0.737	0.405	0.723	1.569	0.641	0.339	0.519	7bbj
7bbj_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001	0.384	0.741	0.399	0.757	1.622	0.653	0.375	0.549	7bbj
7bbj_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_002	0.38	0.688	0.569	0.749	1.186	0.826	0.485	0.783	7bbj
7bbj_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_001	0.381	0.705	0.624	0.774	1.492	0.881	0.566	0.8	7bbj
7bbj_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_004	0.443	0.681	0.43	0.661	1.449	1.134	0.426	0.684	7bbj
7bbj_unrelaxed_rank_018_alphafold2_multimer_v3_model_4_seed_002	0.42	0.687	0.441	0.668	1.499	1.035	0.385	0.513	7bbj
7bnv_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_003	0.977	0.449	0.552	0.568	5.425	2.212	0.454	2.269	7bnv
7bnv_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_002	0.95	0.393	0.479	0.544	5.579	2.174	0.385	2.191	7bnv
7bnv_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_000	0.951	0.42	0.61	0.636	6.355	2.198	0.461	2.23	7bnv
7bnv_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_001	0.936	0.421	0.611	0.613	6.469	2.186	0.464	2.171	7bnv
7bnv_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_002	0.966	0.45	0.606	0.585	5.116	2.256	0.517	2.23	7bnv
7bnv_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_001	0.968	0.451	0.645	0.615	5.321	2.244	0.519	2.231	7bnv
7bnv_unrelaxed_rank_020_alphafold2_multimer_v3_model_4_seed_001	0.962	0.418	0.527	0.574	6.819	2.221	0.449	2.211	7bnv
7bnv_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_003	0.959	0.394	0.504	0.562	4.911	2.184	0.397	2.215	7bnv
7bnv_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_002	0.94	0.447	0.551	0.556	5.571	2.26	0.453	2.049	7bnv
7bnv_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_004	0.96	0.414	0.56	0.607	6.401	2.23	0.465	2.237	7bnv
7bnv_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_004	0.986	0.454	0.574	0.572	5.484	2.257	0.446	2.251	7bnv
7bnv_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_002	0.973	0.448	0.56	0.592	5.963	2.232	0.487	2.261	7bnv
7bnv_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_001	0.971	0.449	0.555	0.555	5.135	2.212	0.491	2.26	7bnv
7bnv_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_004	0.97	0.471	0.568	0.572	5.823	2.28	0.525	2.211	7bnv
7bnv_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_004	0.956	0.401	0.486	0.548	4.867	2.182	0.401	2.213	7bnv
7bnv_unrelaxed_rank_022_alphafold2_multimer_v3_model_4_seed_000	0.97	0.411	0.537	0.607	6.845	2.237	0.457	2.229	7bnv
7bnv_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_004	0.978	0.447	0.565	0.589	5.059	2.223	0.489	2.285	7bnv
7bnv_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_003	0.956	0.414	0.605	0.641	6.274	2.219	0.458	2.222	7bnv
7bnv_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_003	0.988	0.45	0.593	0.595	5.593	2.256	0.454	2.266	7bnv
7bnv_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000	0.969	0.452	0.549	0.574	4.859	2.222	0.469	2.245	7bnv
7bnv_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_000	0.961	0.45	0.595	0.592	5.156	2.238	0.497	2.207	7bnv
7bnv_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_000	0.981	0.447	0.566	0.579	5.746	2.261	0.454	2.239	7bnv
7bnv_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_003	0.965	0.448	0.635	0.616	5.25	2.254	0.501	2.206	7bnv
7bnv_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_001	0.984	0.458	0.589	0.581	5.593	2.253	0.469	2.257	7bnv
7bnv_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	0.958	0.419	0.593	0.612	6.282	2.221	0.483	2.241	7bnv
7daa_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_004	7.892	9.526	0.811	0.905	8.868	0.839	0.667	11.926	7daa
7daa_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_001	0.764	0.51	0.503	0.57	0.909	0.631	0.653	1.986	7daa
7daa_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_004	0.418	0.549	0.502	0.488	0.391	0.425	0.516	0.805	7daa
7daa_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_000	0.356	0.515	0.297	0.434	0.33	0.41	0.462	0.652	7daa
7daa_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000	0.531	0.479	0.384	0.498	0.775	0.372	0.414	1.359	7daa
7daa_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_004	0.755	0.492	0.414	0.521	0.452	0.543	0.571	2.004	7daa
7daa_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_002	0.402	0.517	0.512	0.526	0.512	0.492	0.536	0.808	7daa
7daa_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_004	1.062	0.489	0.36	0.528	0.451	0.553	0.532	3.05	7daa
7daa_unrelaxed_rank_025_alphafold2_multimer_v3_model_5_seed_002	0.413	0.502	0.549	0.492	2.945	0.374	0.428	0.752	7daa
7daa_unrelaxed_rank_011_alphafold2_multimer_v3_model_4_seed_003	0.87	0.512	0.554	0.627	0.898	0.591	0.567	2.33	7daa
7daa_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_003	0.419	0.553	0.51	0.494	0.411	0.442	0.477	0.806	7daa
7daa_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_001	0.418	0.558	0.851	0.587	3.367	0.532	0.523	0.856	7daa
7daa_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_003	0.428	0.512	0.554	0.581	0.603	0.524	0.553	0.932	7daa
7daa_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_001	0.385	0.523	0.343	0.422	0.77	0.453	0.481	0.713	7daa
7daa_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_002	0.679	0.519	0.517	0.374	3.518	0.327	0.337	2.046	7daa
7daa_unrelaxed_rank_014_alphafold2_multimer_v3_model_1_seed_000	0.645	0.525	0.584	0.445	3.294	0.454	0.471	1.669	7daa
7daa_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_000	0.833	0.503	0.474	0.602	0.969	0.595	0.565	2.219	7daa
7daa_unrelaxed_rank_022_alphafold2_multimer_v3_model_5_seed_003	0.376	0.516	0.403	0.512	0.817	0.443	0.524	0.7	7daa
7daa_unrelaxed_rank_024_alphafold2_multimer_v3_model_4_seed_004	8.081	9.564	0.443	0.879	8.825	0.668	0.544	12.88	7daa
7daa_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_001	0.956	0.579	0.56	0.475	3.75	0.453	0.445	2.729	7daa
7daa_unrelaxed_rank_010_alphafold2_multimer_v3_model_3_seed_001	0.461	0.499	0.29	0.405	0.82	0.333	0.409	1.046	7daa
7daa_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_003	0.571	0.51	0.468	0.417	3.462	0.303	0.33	1.595	7daa
7daa_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_000	1.022	0.595	0.436	0.526	0.519	0.612	0.601	2.868	7daa
7daa_unrelaxed_rank_017_alphafold2_multimer_v3_model_1_seed_002	0.877	0.545	0.612	0.29	3.134	0.446	0.394	2.594	7daa
7daa_unrelaxed_rank_021_alphafold2_multimer_v3_model_4_seed_002	1.038	0.522	0.377	0.361	3.105	0.514	0.436	3.119	7daa
7dk2_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_002	0.462	0.86	0.602	0.737	8.901	0.488	0.762	0.517	7dk2
7dk2_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_003	0.46	0.857	0.654	0.691	8.815	0.601	0.813	0.532	7dk2
7dk2_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_000	0.467	0.865	0.584	0.633	8.74	0.459	0.68	0.543	7dk2
7dk2_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000	0.47	0.866	0.672	0.665	8.678	0.557	0.738	0.557	7dk2
7dk2_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_002	0.471	0.861	0.658	0.645	8.716	0.507	0.703	0.576	7dk2
7dk2_unrelaxed_rank_003_alphafold2_multimer_v3_model_4_seed_003	0.47	0.862	0.717	0.877	8.762	0.592	0.876	0.547	7dk2
7dk2_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_004	0.464	0.864	0.649	0.612	8.817	0.415	0.683	0.539	7dk2
7dk2_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_000	0.47	0.862	0.682	0.744	8.819	0.608	0.842	0.604	7dk2
7dk2_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_002	0.464	0.861	0.68	0.87	8.768	0.57	0.858	0.549	7dk2
7dk2_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_000	0.456	0.852	0.644	0.689	8.795	0.603	0.808	0.523	7dk2
7dk2_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_003	0.468	0.86	0.652	0.754	8.871	0.582	0.815	0.567	7dk2
7dk2_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_002	0.468	0.854	0.643	0.729	8.77	0.57	0.804	0.531	7dk2
7dk2_unrelaxed_rank_009_alphafold2_multimer_v3_model_1_seed_003	0.466	0.863	0.661	0.615	8.727	0.526	0.71	0.559	7dk2
7dk2_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_003	0.461	0.86	0.616	0.614	8.83	0.457	0.683	0.546	7dk2
7dk2_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_001	0.467	0.861	0.605	0.711	8.853	0.503	0.727	0.531	7dk2
7dk2_unrelaxed_rank_022_alphafold2_multimer_v3_model_5_seed_004	0.471	0.858	0.669	0.77	8.76	0.584	0.81	0.555	7dk2
7dk2_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_001	0.485	0.873	0.653	0.685	8.823	0.605	0.831	0.585	7dk2
7dk2_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	0.457	0.853	0.602	0.668	8.827	0.599	0.834	0.512	7dk2
7dk2_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_004	0.465	0.864	0.748	0.89	8.736	0.579	0.863	0.562	7dk2
7dk2_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000	0.468	0.871	0.678	0.9	8.765	0.613	0.914	0.579	7dk2
7dk2_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_001	0.464	0.857	0.688	0.733	8.849	0.544	0.773	0.53	7dk2
7dk2_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_004	0.454	0.852	0.637	0.711	8.817	0.593	0.833	0.528	7dk2
7dk2_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_001	0.471	0.869	0.697	0.894	8.733	0.598	0.886	0.577	7dk2
7dk2_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_001	0.464	0.864	0.633	0.696	8.728	0.517	0.741	0.536	7dk2
7dk2_unrelaxed_rank_012_alphafold2_multimer_v3_model_1_seed_004	0.464	0.865	0.688	0.645	8.689	0.515	0.7	0.552	7dk2
7e72_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_000	0.392	0.405	0.599	0.432	1.068	0.704	0.307	0.403	7e72
7e72_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_000	0.393	0.491	0.859	0.504	2.177	0.736	0.349	0.44	7e72
7e72_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_003	0.38	0.567	1.091	0.645	2.325	0.709	0.401	0.403	7e72
7e72_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_004	7.143	8.92	1.572	1.396	9.022	2.405	1.83	11.955	7e72
7e72_unrelaxed_rank_013_alphafold2_multimer_v3_model_3_seed_001	0.379	0.47	0.882	0.628	2.253	0.746	0.33	0.451	7e72
7e72_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000	0.391	0.479	0.921	0.571	1.982	0.755	0.38	0.482	7e72
7e72_unrelaxed_rank_024_alphafold2_multimer_v3_model_4_seed_003	6.926	8.963	2.482	2.06	8.78	3.285	2.437	11.566	7e72
7e72_unrelaxed_rank_021_alphafold2_multimer_v3_model_4_seed_001	7.014	9.007	2.501	2.009	8.951	3.341	2.383	11.683	7e72
7e72_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_001	0.395	0.473	0.898	0.644	2.091	0.747	0.43	0.449	7e72
7e72_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_003	0.412	0.531	0.976	0.607	2.139	0.876	0.315	0.465	7e72
7e72_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_000	0.402	0.407	0.563	0.389	0.721	0.782	0.329	0.474	7e72
7e72_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_000	0.433	0.507	0.727	0.508	0.77	0.926	0.324	0.525	7e72
7e72_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001	0.384	0.547	1.057	0.647	2.269	0.82	0.415	0.429	7e72
7e72_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_002	0.387	0.411	0.725	0.478	2.241	0.677	0.274	0.542	7e72
7e72_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_002	0.415	0.428	0.677	0.482	2.095	0.797	0.35	0.49	7e72
7e72_unrelaxed_rank_023_alphafold2_multimer_v3_model_4_seed_002	6.888	9.002	2.824	2.443	8.592	3.539	2.646	12.03	7e72
7e72_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_003	0.391	0.433	0.809	0.556	2.027	0.72	0.386	0.464	7e72
7e72_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_001	0.411	0.538	1.013	0.648	2.128	0.884	0.312	0.454	7e72
7e72_unrelaxed_rank_025_alphafold2_multimer_v3_model_5_seed_004	13.101	18.125	14.248	16.88	9.121	15.803	12.267	16.568	7e72
7e72_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_004	0.406	0.547	1.082	0.569	2.224	0.982	0.359	0.381	7e72
7e72_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_002	0.421	0.546	1.046	0.594	1.977	0.905	0.351	0.469	7e72
7e72_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_004	0.385	0.492	0.681	0.397	0.685	0.797	0.308	0.501	7e72
7e72_unrelaxed_rank_020_alphafold2_multimer_v3_model_4_seed_004	7.051	8.998	2.638	2.175	9.283	3.495	2.578	12.387	7e72
7e72_unrelaxed_rank_014_alphafold2_multimer_v3_model_3_seed_003	0.377	0.418	0.766	0.476	2.062	0.717	0.381	0.513	7e72
7e72_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_002	0.39	0.535	0.995	0.587	1.998	0.791	0.407	0.493	7e72
7f7e_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001	1.455	1.349	0.725	1.008	1.54	1.555	0.736	2.02	7f7e
7f7e_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_001	1.539	1.408	0.684	1.151	1.49	1.553	0.745	2.214	7f7e
7f7e_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_004	1.528	1.307	0.663	1.139	1.728	1.365	0.581	2.248	7f7e
7f7e_unrelaxed_rank_010_alphafold2_multimer_v3_model_1_seed_003	1.489	1.397	0.64	1.103	3.635	1.398	0.642	2.175	7f7e
7f7e_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_003	1.506	1.309	0.782	1.164	4.678	1.429	0.649	2.008	7f7e
7f7e_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_001	1.503	1.312	0.765	1.252	3.952	1.392	0.614	2.047	7f7e
7f7e_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_003	1.527	1.315	0.736	1.174	4.545	1.411	0.614	2.199	7f7e
7f7e_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_001	1.523	1.334	0.751	1.139	3.415	1.359	0.58	2.127	7f7e
7f7e_unrelaxed_rank_014_alphafold2_multimer_v3_model_2_seed_002	1.553	1.409	0.556	1.04	1.311	1.503	0.617	2.372	7f7e
7f7e_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_004	1.545	1.386	0.687	1.034	1.695	1.545	0.686	2.263	7f7e
7f7e_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_002	1.515	1.403	0.614	0.982	1.615	1.477	0.66	2.285	7f7e
7f7e_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_003	1.51	1.295	0.663	1.019	3.742	1.349	0.665	2.11	7f7e
7f7e_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_004	1.506	1.333	0.819	1.337	3.771	1.401	0.603	2.08	7f7e
7f7e_unrelaxed_rank_011_alphafold2_multimer_v3_model_1_seed_000	1.492	1.348	0.742	1.079	4.486	1.464	0.704	2.019	7f7e
7f7e_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_004	1.496	1.415	0.697	0.962	1.637	1.605	0.778	2.163	7f7e
7f7e_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_002	1.669	1.305	0.557	0.894	1.35	1.256	0.466	2.958	7f7e
7f7e_unrelaxed_rank_016_alphafold2_multimer_v3_model_4_seed_004	1.515	1.287	0.61	1.026	3.731	1.349	0.65	2.106	7f7e
7f7e_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_001	1.532	1.326	0.679	1.168	2.076	1.389	0.593	2.215	7f7e
7f7e_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_000	1.522	1.441	0.802	1.224	3.615	1.697	0.859	2.063	7f7e
7f7e_unrelaxed_rank_019_alphafold2_multimer_v3_model_2_seed_003	1.555	1.383	0.67	1.064	1.35	1.533	0.685	2.323	7f7e
7f7e_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_000	1.503	1.312	0.761	1.252	3.973	1.37	0.599	2.059	7f7e
7f7e_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	1.505	1.32	0.753	1.297	3.885	1.37	0.565	2.045	7f7e
7f7e_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_000	1.586	1.323	0.707	1.04	3.415	1.304	0.527	2.476	7f7e
7f7e_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_002	1.502	1.308	0.705	1.205	3.858	1.373	0.598	2.101	7f7e
7f7e_unrelaxed_rank_008_alphafold2_multimer_v3_model_5_seed_000	1.528	1.3	0.706	1.232	3.983	1.321	0.537	2.208	7f7e
7kez_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_003	1.271	0.544	0.334	0.548	3.244	4.193	0.395	0.584	7kez
7kez_unrelaxed_rank_014_alphafold2_multimer_v3_model_2_seed_002	1.411	0.68	0.315	0.704	3.101	4.644	0.265	0.478	7kez
7kez_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_000	1.4	0.552	0.302	0.68	3.017	4.583	0.25	0.512	7kez
7kez_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_004	1.22	0.492	0.3	0.627	2.771	4.167	0.388	0.481	7kez
7kez_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_001	1.208	0.515	0.363	0.6	3.146	3.963	0.329	0.511	7kez
7kez_unrelaxed_rank_006_alphafold2_multimer_v3_model_5_seed_000	1.402	0.532	0.383	0.687	2.779	4.595	0.329	0.522	7kez
7kez_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_004	1.29	0.522	0.324	0.641	2.852	4.257	0.285	0.468	7kez
7kez_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_001	1.393	0.67	0.311	0.655	2.791	4.562	0.257	0.539	7kez
7kez_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_003	1.214	0.516	0.328	0.557	3.143	3.991	0.352	0.554	7kez
7kez_unrelaxed_rank_012_alphafold2_multimer_v3_model_2_seed_004	1.382	0.563	0.304	0.664	3.126	4.545	0.282	0.46	7kez
7kez_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000	1.241	0.541	0.346	0.663	2.859	4.072	0.304	0.503	7kez
7kez_unrelaxed_rank_023_alphafold2_multimer_v3_model_4_seed_004	1.283	0.546	0.402	0.664	3.166	4.222	0.335	0.45	7kez
7kez_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_001	1.25	0.525	0.326	0.595	2.903	4.119	0.292	0.53	7kez
7kez_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_002	1.222	0.521	0.327	0.656	2.92	4.08	0.289	0.534	7kez
7kez_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_003	1.272	0.588	0.294	0.668	2.792	4.158	0.301	0.454	7kez
7kez_unrelaxed_rank_015_alphafold2_multimer_v3_model_4_seed_000	1.257	0.523	0.33	0.679	2.635	4.161	0.348	0.494	7kez
7kez_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_001	1.248	0.588	0.337	0.639	3.013	4.079	0.368	0.494	7kez
7kez_unrelaxed_rank_021_alphafold2_multimer_v3_model_4_seed_003	1.263	0.542	0.361	0.661	3.124	4.16	0.324	0.56	7kez
7kez_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	1.291	0.512	0.327	0.552	3.153	4.309	0.335	0.527	7kez
7kez_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_002	1.224	0.555	0.397	0.658	3.828	3.905	0.333	0.417	7kez
7kez_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_001	1.238	0.613	0.269	0.636	2.924	4.028	0.261	0.482	7kez
7kez_unrelaxed_rank_019_alphafold2_multimer_v3_model_4_seed_002	1.342	0.539	0.356	0.78	3.074	4.441	0.308	0.412	7kez
7kez_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_000	1.24	0.524	0.331	0.582	3.0	4.067	0.324	0.488	7kez
7kez_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_004	1.278	0.543	0.353	0.596	3.281	4.166	0.323	0.431	7kez
7kez_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_003	1.234	0.546	0.315	0.673	2.705	4.039	0.343	0.464	7kez
7kf0_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_000	1.341	0.519	0.657	0.702	1.483	4.406	0.353	0.502	7kf0
7kf0_unrelaxed_rank_013_alphafold2_multimer_v3_model_3_seed_001	1.234	0.504	0.629	0.769	1.395	4.02	0.445	0.606	7kf0
7kf0_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_001	1.223	0.652	0.617	0.785	1.195	3.963	0.466	0.593	7kf0
7kf0_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_004	1.286	0.492	0.549	0.74	1.564	4.259	0.307	0.535	7kf0
7kf0_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_002	1.245	0.545	0.557	0.732	1.4	4.02	0.447	0.57	7kf0
7kf0_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	1.241	0.503	0.573	0.686	1.35	4.078	0.357	0.586	7kf0
7kf0_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_004	1.233	0.521	0.636	0.782	1.323	4.047	0.416	0.584	7kf0
7kf0_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_003	1.247	0.547	0.719	0.786	1.492	4.002	0.483	0.64	7kf0
7kf0_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_002	1.225	0.538	0.724	0.835	1.338	3.99	0.391	0.565	7kf0
