model	rmsd_full	rmsd_framework	rmsd_h1	rmsd_h2	rmsd_h3	rmsd_l1	rmsd_l2	rmsd_l3
7bnv_34_0	0.743	0.337	0.451	0.330	4.830	2.265	0.228	1.124
7bnv_62_1	0.730	0.362	0.478	0.354	4.423	2.241	0.214	1.042
7bnv_50_3	0.734	0.429	0.481	0.372	3.524	2.248	0.224	0.721
7bnv_37_1	0.671	0.364	0.392	0.289	5.813	2.192	0.249	0.574
7bnv_97_3	0.736	0.456	0.637	0.478	6.209	2.343	0.420	0.653
7bnv_97_4	0.724	0.351	0.440	0.210	5.658	2.188	0.180	1.003
7bnv_75_1	0.704	0.338	0.345	0.243	6.440	2.206	0.173	0.786
7bnv_28_3	0.751	0.393	0.447	0.418	5.482	2.274	0.328	1.120
7bnv_66_4	0.694	0.402	0.495	0.213	3.486	2.229	0.207	0.434
7bnv_54_1	0.765	0.412	0.438	0.405	8.282	2.319	0.387	0.965
7bnv_66_3	0.736	0.380	0.448	0.384	5.989	2.260	0.334	0.970
7bnv_28_4	0.724	0.522	0.609	0.526	5.810	2.325	0.434	0.401
7bnv_18_0	0.714	0.465	0.472	0.283	7.585	2.265	0.241	0.590
7bnv_13_4	0.723	0.340	0.332	0.216	4.802	2.206	0.225	0.904
7bnv_6_3	0.713	0.375	0.388	0.259	6.679	2.210	0.179	0.705
7bnv_6_4	0.695	0.454	0.543	0.275	9.393	2.168	0.217	0.585
7bnv_39_0	0.723	0.374	0.393	0.278	4.938	2.283	0.317	0.822
7bnv_13_3	0.687	0.388	0.393	0.283	2.801	2.268	0.255	0.424
7bnv_63_1	0.765	0.436	0.366	0.281	4.839	2.164	0.249	1.083
7bnv_37_2	0.782	0.449	0.457	0.382	2.462	2.215	0.342	0.836
7bnv_97_0	0.702	0.356	0.416	0.320	4.878	2.156	0.223	0.746
7bnv_54_2	0.754	0.391	0.458	0.415	6.271	2.265	0.336	0.990
7bnv_66_0	0.725	0.440	0.614	0.377	6.243	2.279	0.265	0.724
7bnv_75_2	0.714	0.394	0.460	0.265	4.135	2.222	0.206	0.776
7bnv_28_0	0.704	0.467	0.598	0.625	4.788	2.380	0.549	0.521
7bnv_39_3	0.697	0.348	0.440	0.284	5.760	2.214	0.181	0.736
7bnv_18_4	0.675	0.368	0.360	0.302	2.535	2.208	0.247	0.404
7bnv_13_0	0.698	0.379	0.433	0.329	6.745	2.272	0.275	0.383
7bnv_18_3	0.685	0.353	0.406	0.271	6.667	2.192	0.215	0.712
7bnv_6_0	0.676	0.485	0.459	0.533	6.834	2.181	0.317	0.487
7bnv_39_4	0.673	0.397	0.417	0.246	4.765	2.173	0.188	0.417
7bnv_63_2	0.751	0.373	0.513	0.342	9.290	2.180	0.265	1.154
7bnv_52_1	0.716	0.393	0.406	0.231	4.421	2.203	0.167	0.737
7bnv_46_0	0.721	0.364	0.390	0.288	2.755	2.260	0.209	0.700
7bnv_80_0	0.739	0.392	0.412	0.432	2.633	2.223	0.363	0.851
7bnv_98_1	0.689	0.379	0.429	0.389	4.415	2.246	0.283	0.698
7bnv_65_1	0.731	0.401	0.404	0.264	2.317	2.230	0.205	0.744
7bnv_33_0	0.708	0.406	0.492	0.165	5.112	2.198	0.199	0.722
7bnv_62_2	0.681	0.366	0.425	0.184	3.084	2.222	0.241	0.384
7bnv_50_0	0.749	0.393	0.473	0.312	3.003	2.325	0.343	0.932
7bnv_34_4	0.810	0.447	0.506	0.434	8.474	2.374	0.442	1.201
7bnv_34_3	0.735	0.340	0.419	0.265	2.879	2.256	0.239	1.048
7bnv_63_4	0.679	0.401	0.488	0.317	5.820	2.216	0.285	0.687
7bnv_63_3	0.713	0.369	0.464	0.251	5.661	2.244	0.194	0.760
7bnv_18_2	0.462	0.369	0.436	0.356	7.416	0.483	0.142	0.759
7bnv_6_1	0.677	0.445	0.415	0.271	8.693	2.289	0.240	0.402
7bnv_39_2	0.736	0.418	0.546	0.432	5.861	2.322	0.313	0.928
7bnv_13_1	0.673	0.356	0.432	0.294	3.634	2.252	0.237	0.430
7bnv_75_3	0.712	0.393	0.437	0.300	5.184	2.220	0.239	0.765
7bnv_28_1	0.754	0.444	0.396	0.317	7.294	2.258	0.248	0.791
7bnv_54_4	0.757	0.388	0.440	0.245	4.813	2.221	0.204	1.058
7bnv_54_3	0.712	0.365	0.375	0.198	4.068	2.206	0.230	0.889
7bnv_66_1	0.702	0.421	0.541	0.446	2.581	2.310	0.408	0.395
7bnv_75_4	0.729	0.352	0.375	0.197	2.239	2.234	0.198	0.908
7bnv_37_3	0.724	0.319	0.394	0.312	5.031	2.192	0.237	1.093
7bnv_97_1	0.706	0.360	0.496	0.379	3.049	2.258	0.273	0.769
7bnv_37_4	1.141	0.397	0.567	0.470	8.226	2.427	0.299	3.006
7bnv_62_4	0.693	0.367	0.608	0.341	5.031	2.294	0.250	0.750
7bnv_34_2	0.693	0.347	0.404	0.347	4.001	2.304	0.345	0.468
7bnv_62_3	0.754	0.419	0.442	0.220	3.761	2.179	0.229	1.039
7bnv_50_1	0.965	0.454	0.621	0.517	5.578	2.368	0.433	2.178
7bnv_33_1	0.732	0.377	0.384	0.294	5.281	2.224	0.253	0.979
7bnv_80_1	0.721	0.404	0.472	0.360	3.103	2.290	0.361	0.643
7bnv_65_0	0.735	0.382	0.411	0.283	7.526	2.225	0.206	0.827
7bnv_98_0	0.697	0.356	0.350	0.288	2.673	2.255	0.222	0.407
7bnv_46_1	0.737	0.351	0.457	0.394	3.570	2.268	0.203	0.944
7bnv_52_0	0.696	0.402	0.467	0.379	4.978	2.211	0.283	0.780
7dk2_97_4	0.570	1.315	2.055	1.104	5.387	0.608	0.590	0.523
7dk2_37_1	0.456	1.114	1.765	0.681	4.835	0.387	0.471	0.410
7dk2_97_3	0.535	1.196	0.753	0.372	8.568	0.991	0.995	0.498
7dk2_28_4	0.515	1.315	1.211	0.578	7.740	0.223	0.305	0.551
7dk2_54_1	0.545	1.213	1.651	0.501	7.366	0.517	0.377	0.698
7dk2_66_3	0.469	1.205	0.503	0.603	7.986	0.899	1.080	0.484
7dk2_66_4	0.479	1.263	1.158	0.475	8.412	1.050	1.003	0.560
7dk2_75_1	0.597	1.212	1.081	0.648	8.045	0.439	0.701	0.408
7dk2_28_3	0.462	0.750	1.009	0.540	0.728	0.251	0.414	0.630
7dk2_13_3	0.469	1.112	0.673	0.498	7.607	0.818	0.889	0.567
7dk2_39_0	0.468	1.146	0.664	0.485	7.812	0.753	0.959	0.447
7dk2_18_0	0.475	1.078	0.717	0.281	6.790	0.673	0.822	0.446
7dk2_13_4	0.473	1.121	1.257	0.822	7.178	0.329	0.503	0.453
7dk2_63_1	0.527	1.215	0.855	0.432	8.531	0.678	0.685	0.465
7dk2_52_2	0.681	1.255	1.005	0.367	8.369	1.040	0.821	0.602
7dk2_46_4	0.538	1.228	1.259	0.315	8.163	0.640	0.542	0.535
7dk2_46_3	0.514	1.258	0.707	0.460	7.319	0.748	0.833	0.422
7dk2_65_2	0.490	1.163	0.904	0.634	7.735	0.725	0.976	0.467
7dk2_98_2	0.553	1.239	1.348	0.523	8.529	0.505	0.494	0.462
7dk2_33_4	0.477	0.811	1.574	0.606	0.908	0.390	0.377	0.851
7dk2_80_3	0.522	1.481	1.283	0.860	9.312	1.851	1.503	0.888
7dk2_80_4	0.581	1.231	1.047	0.359	8.327	0.798	0.620	0.537
7dk2_33_3	0.495	1.272	1.402	0.566	8.765	0.595	0.440	0.735
7dk2_62_1	0.461	1.090	0.745	0.365	7.571	0.800	0.847	0.576
7dk2_50_3	0.468	1.207	0.977	0.432	8.322	0.670	0.758	0.449
7dk2_50_4	0.506	1.124	0.672	0.596	7.911	0.952	0.770	0.706
7dk2_6_2	0.456	1.152	0.761	0.519	7.859	0.730	0.677	0.538
7dk2_34_0	0.595	1.158	0.600	0.363	7.651	0.878	0.938	0.587
7dk2_63_0	0.495	1.176	1.069	0.680	7.888	0.592	0.673	0.445
7dk2_18_1	0.467	1.163	0.940	0.512	8.121	0.594	0.685	0.477
7dk2_13_2	0.583	1.189	0.696	0.241	7.452	0.846	0.879	0.508
7dk2_39_1	0.584	1.198	0.756	0.335	8.061	0.967	1.098	0.566
7dk2_75_0	0.505	1.279	0.861	0.762	8.697	1.408	1.301	0.693
7dk2_28_2	0.451	0.785	1.369	0.657	0.591	0.345	0.533	0.623
7dk2_54_0	0.585	1.186	0.808	0.393	7.784	0.718	0.923	0.445
7dk2_66_2	0.485	1.130	1.090	0.366	7.735	0.958	0.851	0.555
7dk2_37_0	0.488	1.234	0.616	0.414	8.602	1.066	1.136	0.474
7dk2_97_2	0.539	1.204	0.939	0.279	8.139	0.663	0.869	0.435
7dk2_6_3	0.478	1.124	0.872	0.473	7.786	0.751	0.889	0.496
7dk2_34_1	0.505	1.164	0.550	0.520	7.683	1.026	1.099	0.545
7dk2_62_0	0.602	1.078	0.639	0.551	6.733	0.678	0.939	0.463
7dk2_50_2	0.461	1.173	0.803	0.410	8.085	0.775	0.780	0.598
7dk2_6_4	0.614	1.296	0.788	0.534	8.978	1.250	1.045	0.731
7dk2_98_4	0.487	1.161	0.762	0.491	7.782	0.686	1.020	0.435
7dk2_65_4	0.481	1.195	0.690	0.476	8.840	0.806	1.032	0.494
7dk2_33_2	0.459	0.783	1.144	0.443	0.967	0.221	0.289	0.630
7dk2_98_3	0.465	1.188	1.283	0.535	7.801	0.578	0.615	0.501
7dk2_65_3	0.634	1.333	0.800	0.330	7.461	1.108	1.119	0.672
7dk2_80_2	0.536	1.283	1.362	0.438	8.521	1.254	0.849	0.807
7dk2_46_2	0.477	1.141	1.410	0.560	7.044	0.529	0.571	0.448
7dk2_52_4	0.468	1.134	0.750	0.467	8.308	0.750	0.907	0.455
7dk2_52_3	0.558	1.246	0.732	0.280	6.086	0.762	0.851	0.420
7dk2_62_3	0.486	1.102	0.475	0.605	6.994	0.931	0.907	0.636
7dk2_50_1	0.478	1.122	0.780	0.602	6.986	0.955	0.945	0.593
7dk2_62_4	0.564	1.089	0.608	0.460	6.776	0.798	0.941	0.530
7dk2_6_0	0.483	1.205	0.942	0.287	8.279	0.887	0.774	0.570
7dk2_34_2	0.667	1.272	1.505	0.427	6.044	1.027	0.697	0.709
7dk2_65_0	0.505	1.184	0.701	0.477	8.442	1.059	0.946	0.607
7dk2_98_0	0.668	1.244	0.922	0.382	8.478	0.934	0.693	0.655
7dk2_80_1	0.521	1.066	1.528	0.759	6.531	0.260	0.390	0.597
7dk2_33_1	0.595	0.882	1.366	0.636	1.174	0.250	0.402	0.575
7dk2_46_1	0.464	1.227	1.122	0.331	8.299	0.927	0.850	0.637
7dk2_52_0	0.442	1.173	0.606	0.661	8.462	0.626	0.932	0.419
7dk2_63_3	0.516	1.208	0.895	0.498	8.015	1.145	0.922	0.806
7dk2_63_4	0.567	1.117	0.673	0.284	7.510	0.849	0.945	0.533
7dk2_13_1	0.472	1.072	0.790	0.481	7.735	0.880	0.871	0.649
7dk2_39_2	0.496	1.132	0.490	0.568	7.270	0.869	1.083	0.496
7dk2_18_2	0.451	1.217	0.852	0.395	8.349	0.896	0.797	0.556
7dk2_75_4	0.467	1.178	0.746	0.458	7.877	0.744	0.996	0.445
7dk2_54_3	0.462	1.092	0.585	0.386	7.671	0.750	0.793	0.447
7dk2_66_1	0.501	1.217	1.177	0.562	8.354	0.552	0.702	0.431
7dk2_54_4	0.462	1.325	0.665	0.519	7.516	1.161	1.256	0.575
7dk2_75_3	0.493	1.227	0.694	0.360	8.588	1.043	0.761	0.696
7dk2_28_1	0.445	0.767	1.278	0.621	0.592	0.326	0.502	0.687
7dk2_37_4	0.512	1.076	0.693	0.605	7.701	0.807	0.968	0.467
7dk2_37_3	0.439	1.127	1.094	0.675	6.619	0.412	0.685	0.458
7dk2_97_1	0.505	1.157	0.946	0.366	7.697	0.933	0.910	0.539
7dk2_52_1	0.512	1.091	0.864	0.563	6.936	0.654	0.690	0.458
7dk2_46_0	0.612	1.197	0.868	0.360	8.141	0.991	1.015	0.545
7dk2_33_0	0.577	1.063	1.495	0.506	1.444	0.398	0.448	0.845
7dk2_98_1	0.509	1.166	0.984	0.694	8.164	0.956	0.820	0.615
7dk2_65_1	0.485	1.128	0.555	0.500	7.354	0.916	1.065	0.478
7dk2_80_0	0.579	1.311	1.614	0.699	8.315	0.616	0.473	0.638
7dk2_6_1	0.468	1.155	1.644	0.802	6.771	0.454	0.510	0.514
7dk2_34_3	0.473	1.157	0.801	0.563	7.872	0.725	0.805	0.509
7dk2_62_2	0.482	1.119	1.158	0.667	7.091	0.587	0.749	0.524
7dk2_50_0	0.477	1.166	0.612	0.566	7.754	0.666	0.920	0.426
7dk2_34_4	0.569	1.206	0.847	0.372	8.058	0.790	0.853	0.565
7dk2_37_2	0.500	1.133	0.830	0.642	7.847	1.101	1.027	0.588
7dk2_97_0	0.512	1.154	0.718	0.450	7.344	0.928	0.848	0.521
7dk2_75_2	0.577	1.250	0.873	0.314	8.446	0.953	0.863	0.549
7dk2_28_0	0.452	0.715	1.015	0.453	0.684	0.234	0.381	0.699
7dk2_54_2	0.498	1.165	1.119	0.415	7.861	0.781	0.634	0.645
7dk2_66_0	0.512	1.133	0.667	0.497	7.407	0.760	1.039	0.429
7dk2_39_4	0.507	1.122	0.923	0.369	7.478	0.994	0.957	0.505
7dk2_18_3	0.561	1.123	0.610	0.569	7.338	1.088	0.976	0.599
7dk2_18_4	0.475	1.250	1.373	0.543	7.916	1.156	0.831	0.729
7dk2_13_0	0.457	1.049	1.121	0.337	6.561	0.518	0.558	0.497
7dk2_39_3	0.495	1.109	0.722	0.440	7.488	0.738	0.873	0.460
7dk2_63_2	0.463	1.211	1.379	0.631	7.842	0.452	0.564	0.533
7ps2_18_1	0.633	0.421	0.423	0.495	4.389	0.879	0.230	1.671
7ps2_39_1	0.742	0.428	0.301	0.691	6.501	0.618	0.151	2.307
7ps2_13_2	0.866	0.512	0.443	1.106	6.679	0.891	0.280	2.692
7ps2_63_0	0.744	0.460	0.342	0.884	5.335	0.640	0.210	2.226
7ps2_97_2	0.781	0.480	0.288	1.425	5.897	0.828	0.257	2.382
7ps2_37_0	0.774	0.473	0.248	1.008	3.687	0.834	0.182	2.280
7ps2_28_2	0.820	0.405	0.448	0.718	5.735	0.847	0.166	2.502
7ps2_75_0	0.854	0.418	0.453	0.587	7.640	1.087	0.255	2.514
7ps2_66_2	0.891	0.460	0.363	0.850	6.536	0.972	0.223	2.716
7ps2_54_0	0.846	0.447	0.321	1.009	6.607	0.657	0.147	2.659
7ps2_33_2	0.810	0.409	0.409	1.127	6.297	0.807	0.201	2.453
7ps2_98_4	0.868	0.510	0.437	1.106	5.697	0.964	0.258	2.486
7ps2_65_4	0.774	0.440	0.387	1.476	5.750	0.705	0.191	2.419
7ps2_80_2	0.739	0.414	0.319	1.119	6.601	0.815	0.192	2.228
7ps2_98_3	0.795	0.498	0.325	0.913	5.204	0.706	0.193	2.505
7ps2_65_3	0.872	0.521	0.517	1.546	3.986	0.999	0.323	2.587
7ps2_34_1	0.727	0.433	0.476	0.760	6.873	0.896	0.260	2.155
7ps2_50_2	0.799	0.466	0.398	0.981	6.712	0.762	0.214	2.443
7ps2_6_0	0.820	0.527	0.555	1.274	6.527	1.055	0.366	2.442
7ps2_62_0	0.862	0.564	0.743	1.005	6.462	1.216	0.471	2.451
7ps2_52_4	0.824	0.529	0.306	1.036	6.239	0.715	0.199	2.610
7ps2_52_3	0.772	0.502	0.379	1.035	6.241	0.723	0.202	2.330
7ps2_46_2	0.799	0.458	0.372	0.944	6.093	1.082	0.292	2.343
7ps2_66_3	0.778	0.501	0.421	0.946	6.882	0.852	0.231	2.413
7ps2_54_1	0.763	0.450	0.322	0.914	6.503	0.706	0.164	2.348
7ps2_28_4	0.739	0.610	0.464	0.953	4.237	0.680	0.177	2.199
7ps2_28_3	0.812	0.438	0.343	0.643	5.491	0.628	0.158	2.568
7ps2_75_1	0.794	0.436	0.362	0.969	6.384	0.851	0.240	2.355
7ps2_66_4	0.917	0.525	0.591	0.895	7.132	1.355	0.384	2.718
7ps2_97_4	0.813	0.434	0.379	0.813	6.324	0.869	0.217	2.487
7ps2_97_3	0.789	0.466	0.320	0.965	6.145	0.629	0.138	2.543
7ps2_37_1	0.796	0.519	0.311	1.075	4.727	0.948	0.273	2.361
7ps2_63_1	0.785	0.437	0.279	1.328	6.150	0.770	0.225	2.389
7ps2_39_0	0.737	0.425	0.349	0.744	6.415	0.741	0.216	2.195
7ps2_13_3	0.868	0.475	0.281	0.793	5.520	0.909	0.297	2.630
7ps2_13_4	0.783	0.454	0.345	0.918	6.452	0.773	0.214	2.415
7ps2_18_0	0.793	0.479	0.377	0.868	5.443	0.697	0.237	2.375
7ps2_46_4	0.783	0.435	0.308	0.991	6.561	0.642	0.163	2.316
7ps2_46_3	0.758	0.513	0.420	0.786	5.802	0.972	0.318	2.265
7ps2_52_2	0.786	0.600	0.322	1.092	6.869	0.977	0.316	2.353
7ps2_50_3	0.807	0.588	0.328	0.832	6.115	0.764	0.158	2.539
7ps2_6_1	0.728	0.581	0.402	1.102	6.859	0.935	0.295	2.155
7ps2_62_1	0.732	0.453	0.424	0.944	6.427	0.808	0.232	2.154
7ps2_34_0	0.756	0.472	0.454	0.944	6.504	1.019	0.261	2.179
7ps2_50_4	0.739	0.437	0.483	0.814	6.566	0.790	0.240	2.144
7ps2_80_3	0.804	0.462	0.435	0.943	6.477	0.945	0.272	2.387
7ps2_33_4	0.806	0.488	0.412	0.966	3.724	1.034	0.247	2.416
7ps2_65_2	0.791	0.504	0.446	1.129	5.656	0.946	0.325	2.347
7ps2_98_2	0.779	0.510	0.475	1.124	5.029	0.922	0.304	2.364
7ps2_33_3	0.831	0.510	0.310	0.908	6.886	0.699	0.273	2.494
7ps2_80_4	0.748	0.455	0.457	0.585	5.155	0.792	0.251	2.199
7ps2_46_0	0.798	0.422	0.445	0.894	5.966	0.985	0.273	2.381
7ps2_52_1	0.750	0.552	0.335	1.037	6.226	0.846	0.193	2.135
7ps2_34_3	0.788	0.428	0.307	1.058	6.393	0.575	0.144	2.432
7ps2_34_4	0.755	0.452	0.285	1.404	6.491	0.627	0.171	2.384
7ps2_50_0	0.782	0.446	0.306	0.914	4.223	0.583	0.157	2.376
7ps2_62_2	0.804	0.465	0.325	1.038	5.971	0.845	0.204	2.411
7ps2_6_2	0.810	0.425	0.339	1.036	6.156	0.805	0.270	2.441
7ps2_33_0	0.783	0.507	0.536	1.072	6.574	0.977	0.340	2.347
7ps2_80_0	0.841	0.469	0.444	0.811	6.473	0.972	0.311	2.493
7ps2_98_1	0.794	0.424	0.381	0.625	5.261	0.562	0.182	2.566
7ps2_65_1	0.760	0.479	0.355	1.544	6.257	0.752	0.162	2.328
7ps2_28_0	0.766	0.471	0.381	1.306	4.753	0.704	0.177	2.430
7ps2_75_2	0.795	0.456	0.411	1.104	5.720	1.085	0.293	2.296
7ps2_66_0	0.815	0.483	0.309	0.777	6.081	0.875	0.182	2.503
7ps2_54_2	0.798	0.482	0.312	0.774	6.481	0.742	0.229	2.493
7ps2_97_0	0.806	0.457	0.316	1.258	5.403	0.891	0.253	2.465
7ps2_37_2	0.775	0.488	0.431	0.958	5.287	0.888	0.263	2.309
7ps2_63_2	0.882	0.534	0.868	0.987	5.826	1.203	0.424	2.552
7ps2_18_3	0.848	0.571	0.303	0.988	5.957	0.862	0.243	2.623
7ps2_39_4	0.778	0.463	0.339	1.217	8.387	0.882	0.249	2.330
7ps2_39_3	0.775	0.471	0.666	0.865	6.323	1.013	0.327	2.265
7ps2_13_0	0.872	0.514	0.448	1.119	7.304	1.046	0.287	2.611
7ps2_18_4	0.772	0.456	0.295	0.769	5.954	0.776	0.217	2.290
7ps2_80_1	0.728	0.499	0.350	1.397	5.923	0.725	0.213	2.176
7ps2_65_0	0.737	0.456	0.417	0.883	6.631	0.979	0.286	2.116
7ps2_98_0	0.790	0.487	0.267	0.904	4.985	0.758	0.226	2.430
7ps2_33_1	0.737	0.457	0.342	1.410	5.547	0.997	0.280	2.121
7ps2_50_1	0.931	0.538	0.538	0.653	6.387	1.138	0.305	2.843
7ps2_62_3	0.814	0.472	0.549	1.411	6.216	0.962	0.313	2.367
7ps2_6_3	0.818	0.501	0.376	1.205	6.546	0.983	0.302	2.440
7ps2_34_2	0.783	0.499	0.344	1.161	4.935	0.687	0.209	2.398
7ps2_62_4	0.758	0.483	0.523	1.367	6.286	0.980	0.351	2.214
7ps2_6_4	0.774	0.471	0.567	0.993	4.599	0.738	0.258	2.242
7ps2_52_0	0.758	0.456	0.478	1.014	6.238	0.782	0.284	2.243
7ps2_46_1	0.772	0.537	0.321	0.790	6.115	0.827	0.273	2.267
7ps2_39_2	0.730	0.419	0.335	0.687	6.193	0.677	0.184	2.167
7ps2_13_1	0.841	0.561	0.523	0.771	6.277	0.892	0.423	2.531
7ps2_18_2	0.767	0.503	0.398	0.887	8.303	0.649	0.156	2.403
7ps2_63_3	0.724	0.447	0.457	0.962	6.887	0.872	0.279	2.115
7ps2_63_4	0.773	0.440	0.357	0.869	6.926	0.826	0.155	2.320
7ps2_37_4	0.733	0.500	0.540	0.859	6.609	0.971	0.362	2.081
7ps2_97_1	0.756	0.435	0.269	1.220	6.083	0.786	0.238	2.307
7ps2_37_3	0.781	0.483	0.420	0.823	6.682	0.838	0.249	2.390
7ps2_66_1	0.791	0.522	0.510	0.909	6.383	1.166	0.330	2.257
7ps2_54_3	0.810	0.476	0.563	0.856	6.619	1.089	0.358	2.354
7ps2_75_4	0.972	0.511	0.616	0.774	6.786	1.462	0.450	2.757
7ps2_28_1	0.745	0.467	0.521	0.941	4.236	0.859	0.266	2.092
7ps2_75_3	0.788	0.421	0.332	0.918	6.446	0.746	0.197	2.400
7ps2_54_4	0.775	0.591	0.445	1.043	5.239	1.048	0.311	2.283
7f7e_52_2	1.614	1.408	0.719	1.017	2.776	1.783	0.223	2.214
7f7e_46_3	1.607	1.355	0.412	1.050	2.469	1.812	0.408	2.134
7f7e_46_4	1.574	1.318	0.484	1.239	2.510	1.835	0.307	2.118
7f7e_80_4	1.610	1.348	0.583	1.498	2.938	2.041	0.449	1.864
7f7e_33_3	1.551	1.309	0.323	0.984	1.515	1.868	0.332	2.014
7f7e_33_4	1.496	1.229	0.440	1.152	2.759	2.081	0.498	1.896
7f7e_98_2	1.609	1.358	0.501	1.513	3.087	2.026	0.435	1.946
7f7e_65_2	1.562	1.319	0.609	1.067	2.632	2.230	0.814	1.927
7f7e_80_3	1.623	1.359	0.792	1.560	3.018	2.275	0.732	2.197
7f7e_6_2	1.567	1.339	0.581	1.487	2.981	2.077	0.491	2.055
7f7e_34_0	1.612	1.295	0.410	0.867	1.532	1.922	0.454	2.216
7f7e_50_4	1.575	1.334	0.484	1.320	2.783	2.129	0.550	1.942
7f7e_62_1	1.542	1.278	0.457	1.390	3.002	1.995	0.488	2.285
7f7e_50_3	1.635	1.357	0.444	1.433	2.774	2.032	0.507	2.129
7f7e_97_3	1.568	1.356	0.382	0.846	1.735	1.971	0.501	1.926
7f7e_37_1	1.552	1.391	0.598	1.416	2.707	2.260	0.655	1.914
7f7e_97_4	1.600	1.388	0.377	0.992	1.656	1.902	0.401	2.175
7f7e_66_4	1.529	1.319	0.842	1.590	3.147	2.351	0.786	1.970
7f7e_28_3	1.542	1.286	0.511	1.328	2.959	2.089	0.547	1.908
7f7e_75_1	1.587	1.450	0.688	1.094	3.017	1.807	0.251	2.266
7f7e_28_4	1.564	1.333	0.641	1.448	3.024	2.177	0.660	2.251
7f7e_54_1	1.587	1.389	0.610	1.327	3.018	2.197	0.633	2.459
7f7e_66_3	1.594	1.336	0.565	1.329	3.021	2.058	0.479	2.217
7f7e_18_0	1.662	1.432	0.635	1.565	3.035	2.051	0.575	1.946
7f7e_13_4	1.569	1.288	0.353	1.043	2.463	1.910	0.309	2.108
7f7e_13_3	1.592	1.272	0.319	0.921	2.317	1.833	0.432	2.261
7f7e_39_0	1.593	1.325	0.479	1.233	2.777	2.025	0.551	2.080
7f7e_63_1	1.517	1.307	0.726	1.560	2.940	2.224	0.695	1.774
7f7e_6_4	1.553	1.328	0.593	1.559	3.278	2.090	0.499	2.306
7f7e_62_0	1.584	1.312	0.421	1.291	2.845	1.959	0.473	2.324
7f7e_50_2	1.625	1.324	0.503	1.529	2.943	2.062	0.528	2.498
7f7e_6_3	1.554	1.371	0.587	1.616	3.151	2.027	0.525	2.379
7f7e_34_1	1.598	1.253	0.242	1.179	1.487	1.963	0.372	2.290
7f7e_65_3	1.577	1.350	0.555	1.091	2.787	1.939	0.481	2.041
7f7e_98_3	1.617	1.380	0.405	1.228	2.653	1.901	0.456	1.976
7f7e_80_2	1.534	1.294	0.543	1.444	3.036	2.108	0.531	2.185
7f7e_33_2	1.548	1.259	0.313	1.301	2.640	1.860	0.249	1.930
7f7e_65_4	1.657	1.411	0.941	1.475	2.996	2.393	0.819	2.112
