model	plddt_full	plddt_h1	plddt_h2	plddt_h3	plddt_l1	plddt_l2	plddt_l3	pdb
7dk2_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_001	95.063	91.749	95.68	71.449	95.638	92.833	94.111	7dk2
7dk2_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	94.937	91.376	95.477	70.613	95.353	92.933	93.779	7dk2
7dk2_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_004	95.397	92.595	95.992	73.655	96.26	93.457	94.772	7dk2
7dk2_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000	95.681	93.039	96.149	75.695	96.605	94.127	95.006	7dk2
7dk2_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_001	95.099	91.662	95.875	70.829	95.875	93.187	93.959	7dk2
7dk2_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_004	95.093	91.625	95.524	71.541	95.342	92.937	93.986	7dk2
7dk2_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_001	95.407	92.421	96.077	74.302	96.332	93.623	94.876	7dk2
7dk2_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_001	95.277	92.366	96.101	72.48	96.302	93.937	93.487	7dk2
7dk2_unrelaxed_rank_012_alphafold2_multimer_v3_model_1_seed_004	94.864	91.985	95.757	70.932	95.72	93.063	92.438	7dk2
7e72_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_000	95.403	94.734	97.32	76.575	96.51	95.583	94.299	7e72
7e72_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_000	95.104	94.022	97.461	75.58	95.895	95.29	93.992	7e72
7e72_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_003	95.536	94.735	97.726	74.268	96.28	95.437	94.639	7e72
7e72_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_004	89.786	91.046	94.907	70.031	87.582	90.71	68.338	7e72
7e72_unrelaxed_rank_013_alphafold2_multimer_v3_model_3_seed_001	95.167	93.508	97.163	73.309	96.083	95.187	94.416	7e72
7e72_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000	95.332	94.735	97.476	74.554	96.168	95.417	93.862	7e72
7e72_unrelaxed_rank_024_alphafold2_multimer_v3_model_4_seed_003	87.626	89.3	92.243	66.018	84.385	90.437	65.51	7e72
7e72_unrelaxed_rank_021_alphafold2_multimer_v3_model_4_seed_001	89.181	89.845	93.555	64.362	86.032	91.523	68.87	7e72
7e72_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_001	94.944	93.227	96.884	70.579	95.5	94.48	93.668	7e72
7e72_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_003	95.807	94.953	97.695	75.926	96.562	96.043	94.943	7e72
7e72_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_000	96.395	97.4	98.249	87.39	97.573	97.187	96.263	7e72
7e72_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_000	96.251	97.107	98.102	85.936	97.125	97.23	95.527	7e72
7e72_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001	95.566	94.83	97.655	74.201	96.603	95.627	94.922	7e72
7e72_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_002	95.167	93.656	97.25	72.838	96.332	95.273	94.299	7e72
7e72_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_002	94.914	93.283	96.952	71.562	95.583	94.77	93.389	7e72
7e72_unrelaxed_rank_023_alphafold2_multimer_v3_model_4_seed_002	87.824	89.648	93.14	67.152	84.342	90.917	64.923	7e72
7e72_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_003	95.107	93.351	96.976	71.031	95.532	94.603	93.764	7e72
7e72_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_001	95.699	95.023	97.735	76.161	96.678	96.21	94.896	7e72
7e72_unrelaxed_rank_025_alphafold2_multimer_v3_model_5_seed_004	87.346	80.914	86.86	61.367	80.437	89.837	60.004	7e72
7e72_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_004	95.675	95.094	97.78	75.222	96.168	95.707	94.612	7e72
7e72_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_002	95.458	94.836	97.625	74.781	96.363	95.563	94.381	7e72
7e72_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_004	96.554	97.439	98.268	89.141	97.307	97.69	96.298	7e72
7e72_unrelaxed_rank_020_alphafold2_multimer_v3_model_4_seed_004	89.556	91.93	95.405	72.363	87.363	90.75	67.743	7e72
7e72_unrelaxed_rank_014_alphafold2_multimer_v3_model_3_seed_003	95.185	93.405	97.11	72.555	96.02	95.063	94.09	7e72
7e72_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_002	95.526	94.798	97.571	74.974	96.52	95.793	94.203	7e72
7f7e_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001	92.988	93.265	89.375	71.064	90.593	93.563	78.726	7f7e
7f7e_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_001	93.081	92.886	90.01	71.274	91.158	93.543	79.663	7f7e
7f7e_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_004	92.337	91.406	87.711	66.268	88.855	91.73	77.508	7f7e
7f7e_unrelaxed_rank_010_alphafold2_multimer_v3_model_1_seed_003	92.283	92.671	89.756	67.664	88.552	91.957	73.952	7f7e
7f7e_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_003	92.515	92.924	89.702	71.563	88.615	92.357	76.233	7f7e
7f7e_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_001	92.989	93.369	90.226	72.01	88.74	92.56	76.992	7f7e
7f7e_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_003	92.852	92.821	89.619	70.051	88.56	92.627	74.636	7f7e
7f7e_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_001	93.214	93.29	90.289	71.38	89.927	92.96	77.512	7f7e
7f7e_unrelaxed_rank_014_alphafold2_multimer_v3_model_2_seed_002	93.012	92.937	89.664	71.238	91.355	94.107	78.918	7f7e
7f7e_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_004	92.353	92.734	89.406	69.664	89.042	92.543	74.511	7f7e
7f7e_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_002	92.572	92.634	88.573	69.487	90.343	93.753	76.594	7f7e
7f7e_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_003	93.047	93.509	90.062	72.556	89.0	92.647	74.707	7f7e
7f7e_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_004	92.122	93.025	89.837	71.694	86.863	91.46	74.96	7f7e
7f7e_unrelaxed_rank_011_alphafold2_multimer_v3_model_1_seed_000	93.074	93.134	90.196	73.01	90.572	93.19	79.046	7f7e
7f7e_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_004	92.849	93.054	89.22	69.957	90.51	93.48	78.211	7f7e
7f7e_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_002	93.918	94.073	90.493	72.758	91.937	94.603	82.274	7f7e
7f7e_unrelaxed_rank_016_alphafold2_multimer_v3_model_4_seed_004	92.988	93.6	89.97	72.501	88.897	92.54	74.195	7f7e
7f7e_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_001	92.974	92.929	89.14	70.963	89.51	93.043	75.416	7f7e
7f7e_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_000	92.011	92.476	89.186	67.866	88.657	91.29	75.142	7f7e
7f7e_unrelaxed_rank_019_alphafold2_multimer_v3_model_2_seed_003	92.45	92.714	89.467	69.648	89.617	92.873	75.671	7f7e
7f7e_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_000	92.545	92.765	89.711	70.041	87.478	91.647	75.23	7f7e
7f7e_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	92.213	92.796	89.765	69.637	86.593	91.083	73.43	7f7e
7f7e_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_000	93.006	93.243	90.11	69.996	89.802	93.12	76.001	7f7e
7f7e_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_002	92.817	92.796	89.923	69.353	88.907	92.543	76.109	7f7e
7f7e_unrelaxed_rank_008_alphafold2_multimer_v3_model_5_seed_000	92.985	93.229	90.164	70.282	88.895	92.813	74.784	7f7e
7kez_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_003	93.84	93.726	94.58	77.929	71.943	87.103	89.696	7kez
7kez_unrelaxed_rank_014_alphafold2_multimer_v3_model_2_seed_002	93.512	92.869	93.04	73.537	71.373	88.397	88.93	7kez
7kez_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_000	93.598	93.281	93.672	73.956	71.573	88.727	89.429	7kez
7kez_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_004	93.592	93.82	94.056	74.124	70.702	87.667	89.326	7kez
7kez_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_001	93.502	92.976	93.14	73.48	70.571	86.853	88.931	7kez
7kez_unrelaxed_rank_006_alphafold2_multimer_v3_model_5_seed_000	93.558	92.664	92.852	73.412	70.307	87.627	88.987	7kez
7kez_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_004	93.452	92.486	92.686	72.218	70.454	86.833	89.32	7kez
7kez_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_001	94.011	93.844	94.211	74.724	73.263	88.81	90.319	7kez
7kez_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_003	93.394	92.765	92.609	72.901	70.21	86.647	88.924	7kez
7kez_unrelaxed_rank_012_alphafold2_multimer_v3_model_2_seed_004	93.558	93.345	93.726	73.979	70.976	87.837	89.166	7kez
7kez_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000	94.164	94.329	94.72	75.724	73.488	88.623	90.424	7kez
7kez_unrelaxed_rank_023_alphafold2_multimer_v3_model_4_seed_004	93.072	92.43	92.415	72.206	69.757	85.667	87.327	7kez
7kez_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_001	93.642	93.133	94.265	74.971	70.715	87.353	89.337	7kez
7kez_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_002	93.761	94.281	94.554	77.048	70.085	88.227	88.72	7kez
7kez_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_003	93.502	93.276	93.656	74.012	70.799	87.747	89.119	7kez
7kez_unrelaxed_rank_015_alphafold2_multimer_v3_model_4_seed_000	93.38	92.617	92.541	72.331	71.627	86.98	89.263	7kez
7kez_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_001	94.056	94.217	94.75	77.189	74.053	88.273	90.488	7kez
7kez_unrelaxed_rank_021_alphafold2_multimer_v3_model_4_seed_003	93.71	93.75	94.296	76.653	72.179	86.873	89.356	7kez
7kez_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	93.529	93.256	94.165	76.088	70.34	86.897	87.79	7kez
7kez_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_002	93.628	92.938	93.149	74.141	69.341	87.46	89.271	7kez
7kez_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_001	93.567	93.219	93.65	73.8	71.991	87.957	89.398	7kez
7kez_unrelaxed_rank_019_alphafold2_multimer_v3_model_4_seed_002	93.253	92.686	92.906	72.186	69.868	86.897	88.043	7kez
7kez_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_000	93.587	93.471	93.882	75.027	70.983	87.147	88.514	7kez
7kez_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_004	93.339	92.46	92.423	71.982	69.03	86.373	88.819	7kez
7kez_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_003	94.051	93.672	93.79	74.777	74.355	88.517	90.501	7kez
7kf0_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_000	94.152	93.32	93.39	80.304	68.547	87.187	88.652	7kf0
7kf0_unrelaxed_rank_013_alphafold2_multimer_v3_model_3_seed_001	94.747	93.779	94.524	81.613	73.446	89.52	91.638	7kf0
7kf0_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_001	95.172	94.805	95.061	82.975	77.192	89.853	92.153	7kf0
7kf0_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_004	94.146	92.83	93.306	79.084	70.535	87.5	88.91	7kf0
7kf0_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_002	94.675	94.132	94.944	82.076	74.825	88.917	90.577	7kf0
7kf0_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	94.253	93.516	94.305	81.597	70.738	88.127	89.106	7kf0
7kf0_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_004	94.658	93.983	94.102	80.132	73.403	88.877	90.452	7kf0
7kf0_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_003	94.667	93.678	94.226	81.747	72.683	87.873	90.994	7kf0
7kf0_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_002	94.607	94.47	95.101	82.544	72.565	88.0	90.396	7kf0
7kf0_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_003	94.907	94.001	94.54	82.526	76.808	89.06	91.147	7kf0
7kf0_unrelaxed_rank_021_alphafold2_multimer_v3_model_2_seed_000	94.852	94.149	94.937	82.468	78.987	89.813	89.049	7kf0
7kf0_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_001	94.929	95.024	95.905	85.447	73.437	89.603	90.812	7kf0
7kf0_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_004	94.797	93.43	94.071	80.422	79.085	89.667	89.672	7kf0
7kf0_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_003	94.428	94.486	95.461	84.274	69.558	88.063	88.438	7kf0
7kf0_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_001	94.683	93.765	94.201	80.923	73.078	88.373	91.057	7kf0
7kf0_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_000	94.162	93.203	93.79	80.312	70.501	88.52	88.929	7kf0
7kf0_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_002	95.059	94.275	94.694	80.747	78.268	89.813	91.61	7kf0
7kf0_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_002	94.253	93.172	93.936	80.182	71.316	86.813	89.391	7kf0
7kf0_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_004	94.679	94.046	94.438	83.085	71.664	88.42	89.938	7kf0
7kf0_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000	95.276	94.694	94.89	82.658	78.675	90.54	91.604	7kf0
